epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6019,1.12267,3.98354,1.15199,0.00666,0.29444,0.07644,0.0604,0.77619,4.1287,0.90992,5e-05,5e-05,5e-05
2,50.4748,0.97083,3.57157,1.01685,0.02699,0.31111,0.14582,0.13611,0.70921,4.0356,0.84411,0.000109782,0.000109782,0.000109782
3,74.3119,0.83235,2.3605,0.9666,0.94677,0.16667,0.16715,0.15644,0.71736,3.80992,0.8378,0.000169327,0.000169327,0.000169327
4,97.9238,0.75338,1.60094,0.93721,1,0.1406,0.18623,0.17437,0.72729,3.62117,0.83724,0.000228634,0.000228634,0.000228634
5,121.444,0.70479,1.34369,0.92365,1,0.12675,0.27068,0.25402,0.78293,3.59199,0.84054,0.000287703,0.000287703,0.000287703
6,145.174,0.73085,1.21375,0.91392,0.13988,0.37222,0.23274,0.22122,0.72321,3.55448,0.84155,0.000346535,0.000346535,0.000346535
7,168.861,0.73906,1.07378,0.91712,0.15499,0.4,0.2995,0.27086,0.69592,3.48964,0.83801,0.000405129,0.000405129,0.000405129
8,192.888,0.71735,0.95552,0.89973,0.17378,0.63889,0.45926,0.39921,0.69346,3.32501,0.83407,0.000463486,0.000463486,0.000463486
9,217.136,0.7186,0.9289,0.89698,0.98725,0.16667,0.44529,0.37695,0.72563,3.3382,0.82586,0.000521605,0.000521605,0.000521605
10,241.439,0.68693,0.90214,0.89994,0.98688,0.16667,0.5429,0.46417,0.68972,3.13738,0.82907,0.000579486,0.000579486,0.000579486
11,267.569,0.70037,0.86198,0.92695,0.98636,0.16667,0.6832,0.58478,0.63816,2.89167,0.81581,0.00063713,0.00063713,0.00063713
12,293.271,0.68284,0.78238,0.88465,0.98905,0.16667,0.74984,0.6286,0.69668,2.63524,0.81978,0.000694536,0.000694536,0.000694536
13,318.544,0.68187,0.78038,0.87834,0.98871,0.21161,0.83029,0.69185,0.68219,2.54111,0.82013,0.000751705,0.000751705,0.000751705
14,342.76,0.67731,0.77374,0.87876,0.99117,0.3157,0.90667,0.72577,0.76834,2.40683,0.8395,0.000808636,0.000808636,0.000808636
15,366.588,0.67991,0.76505,0.89825,0.987,0.36504,0.905,0.73888,0.72322,2.13298,0.82577,0.000865329,0.000865329,0.000865329
16,390.643,0.63551,0.71878,0.88593,0.97561,0.69998,0.94,0.77209,0.68118,1.6604,0.82174,0.000921785,0.000921785,0.000921785
17,414.586,0.66208,0.74454,0.8913,0.96513,0.78822,0.995,0.81987,0.67834,1.59868,0.81793,0.00096832,0.00096832,0.00096832
18,438.587,0.64434,0.71558,0.87476,0.92188,0.93433,0.995,0.80924,0.6687,1.38052,0.81737,0.00096634,0.00096634,0.00096634
19,462.658,0.62989,0.70095,0.88539,0.93126,0.93041,0.995,0.82481,0.64158,1.19833,0.81129,0.00096436,0.00096436,0.00096436
20,486.649,0.59808,0.66086,0.8658,0.89398,0.91079,0.995,0.81969,0.63844,1.13398,0.80789,0.00096238,0.00096238,0.00096238
21,510.519,0.63879,0.67113,0.87067,0.89,0.82164,0.995,0.8295,0.64496,1.11502,0.8087,0.0009604,0.0009604,0.0009604
22,534.29,0.63677,0.67773,0.87876,0.9246,0.90383,0.99348,0.81224,0.6444,0.95798,0.81788,0.00095842,0.00095842,0.00095842
23,558.19,0.60717,0.65261,0.86375,0.96307,0.97449,0.99222,0.80959,0.64674,0.86348,0.82449,0.00095644,0.00095644,0.00095644
24,582.828,0.61431,0.65191,0.87089,0.90551,0.96432,0.99222,0.81694,0.64215,0.86528,0.81409,0.00095446,0.00095446,0.00095446
25,607.309,0.61318,0.62463,0.86582,0.92083,0.98106,0.99222,0.81659,0.63647,0.7811,0.81392,0.00095248,0.00095248,0.00095248
26,634.747,0.61734,0.62147,0.87591,0.95314,0.9806,0.99222,0.81229,0.60708,0.73753,0.81374,0.0009505,0.0009505,0.0009505
27,664.788,0.62638,0.64468,0.89081,0.94452,0.98091,0.99222,0.83207,0.5783,0.74216,0.80736,0.00094852,0.00094852,0.00094852
28,692.619,0.62104,0.63737,0.87503,0.94947,0.98333,0.99222,0.82644,0.6033,0.73556,0.80986,0.00094654,0.00094654,0.00094654
29,721.084,0.63479,0.62895,0.87646,0.97339,0.98333,0.99348,0.81608,0.62865,0.65264,0.81456,0.00094456,0.00094456,0.00094456
30,747.147,0.6215,0.58897,0.85987,0.98244,0.98333,0.99348,0.79714,0.60879,0.60536,0.8097,0.00094258,0.00094258,0.00094258
31,771.429,0.60294,0.56529,0.85464,0.98375,0.98048,0.99348,0.80002,0.59623,0.61386,0.80701,0.0009406,0.0009406,0.0009406
32,795.993,0.58005,0.56777,0.86984,0.95807,0.98333,0.99348,0.79579,0.6285,0.63311,0.8097,0.00093862,0.00093862,0.00093862
33,819.95,0.59048,0.57254,0.87083,0.96686,0.98333,0.99348,0.82215,0.59707,0.6282,0.80879,0.00093664,0.00093664,0.00093664
34,843.618,0.5671,0.55491,0.86161,0.9852,0.97894,0.99222,0.82954,0.58458,0.61201,0.8029,0.00093466,0.00093466,0.00093466
35,867.502,0.59307,0.5744,0.88826,0.9767,0.98333,0.99222,0.82745,0.57736,0.59558,0.79845,0.00093268,0.00093268,0.00093268
36,891.082,0.55862,0.54933,0.86727,0.98188,0.98333,0.99348,0.83677,0.56684,0.65359,0.79936,0.0009307,0.0009307,0.0009307
37,914.615,0.58647,0.55893,0.86215,0.96718,0.98124,0.99348,0.82745,0.56664,0.66147,0.79943,0.00092872,0.00092872,0.00092872
38,938.196,0.56374,0.53831,0.86504,0.96044,0.97281,0.99348,0.81444,0.56427,0.59614,0.79774,0.00092674,0.00092674,0.00092674
39,962.249,0.59207,0.55203,0.8703,0.95917,0.97759,0.995,0.8174,0.57873,0.59389,0.79967,0.00092476,0.00092476,0.00092476
40,985.919,0.57418,0.54378,0.86775,0.96036,0.97604,0.995,0.82173,0.57012,0.61786,0.79746,0.00092278,0.00092278,0.00092278
41,1009.87,0.53412,0.52724,0.84303,0.94592,0.98785,0.995,0.84005,0.5495,0.59424,0.79187,0.0009208,0.0009208,0.0009208
42,1033.58,0.56897,0.526,0.87075,0.96548,0.98825,0.995,0.8342,0.55666,0.53096,0.79166,0.00091882,0.00091882,0.00091882
43,1057.23,0.58133,0.5471,0.89635,0.97089,0.98592,0.995,0.81882,0.55958,0.50713,0.79168,0.00091684,0.00091684,0.00091684
44,1080.89,0.58569,0.5258,0.86937,0.9605,0.96918,0.99348,0.82657,0.5582,0.56406,0.79065,0.00091486,0.00091486,0.00091486
45,1104.67,0.55296,0.53602,0.85238,0.9711,0.97117,0.99348,0.81648,0.58828,0.54448,0.79553,0.00091288,0.00091288,0.00091288
46,1128.27,0.57019,0.52708,0.87276,0.97181,0.99084,0.995,0.82445,0.58989,0.54238,0.8028,0.0009109,0.0009109,0.0009109
47,1151.94,0.56127,0.52139,0.87226,0.96658,0.98769,0.995,0.82511,0.62756,0.55914,0.80395,0.00090892,0.00090892,0.00090892
48,1175.42,0.55714,0.50746,0.85478,0.96561,0.98358,0.995,0.83835,0.59272,0.58353,0.80137,0.00090694,0.00090694,0.00090694
49,1198.99,0.52167,0.5105,0.8577,0.97987,0.98566,0.995,0.84639,0.59331,0.54757,0.796,0.00090496,0.00090496,0.00090496
50,1222.62,0.5658,0.50891,0.86847,0.97671,0.98333,0.99348,0.83725,0.57909,0.53497,0.79787,0.00090298,0.00090298,0.00090298
51,1246.3,0.55282,0.49981,0.856,0.97481,0.9803,0.99348,0.83716,0.57063,0.53458,0.79837,0.000901,0.000901,0.000901
52,1269.99,0.54169,0.49181,0.85593,0.97838,0.98333,0.99348,0.83526,0.53083,0.50868,0.78857,0.00089902,0.00089902,0.00089902
53,1293.68,0.54266,0.48899,0.86021,0.98331,0.98333,0.99348,0.83536,0.56765,0.51225,0.79365,0.00089704,0.00089704,0.00089704
54,1317.16,0.56765,0.52736,0.88601,0.97924,0.98451,0.995,0.84229,0.55495,0.50748,0.79316,0.00089506,0.00089506,0.00089506
55,1342.17,0.51643,0.48225,0.83599,0.97529,0.98682,0.995,0.8488,0.55732,0.49484,0.79568,0.00089308,0.00089308,0.00089308
56,1365.96,0.53166,0.48777,0.84846,0.96988,0.99306,0.995,0.84853,0.53233,0.47305,0.79364,0.0008911,0.0008911,0.0008911
57,1390.1,0.52116,0.46248,0.83979,0.97591,0.98297,0.995,0.8532,0.52828,0.47704,0.79106,0.00088912,0.00088912,0.00088912
58,1414.83,0.54988,0.50792,0.87451,0.9691,0.97201,0.995,0.84941,0.5377,0.51539,0.7904,0.00088714,0.00088714,0.00088714
59,1439.69,0.51605,0.47645,0.8635,0.95702,0.98892,0.995,0.85181,0.55986,0.51091,0.79169,0.00088516,0.00088516,0.00088516
60,1464.25,0.52688,0.46884,0.84521,0.97954,0.98988,0.995,0.85996,0.56788,0.48962,0.81393,0.00088318,0.00088318,0.00088318
61,1488.88,0.5282,0.47367,0.84853,0.98027,0.99633,0.995,0.83919,0.56809,0.49282,0.81986,0.0008812,0.0008812,0.0008812
62,1513.98,0.54748,0.47991,0.86478,0.9627,0.98375,0.995,0.84335,0.57743,0.50172,0.83175,0.00087922,0.00087922,0.00087922
63,1538.97,0.55056,0.48319,0.88053,0.96243,0.97169,0.995,0.84548,0.59153,0.506,0.83607,0.00087724,0.00087724,0.00087724
64,1564.56,0.54457,0.47478,0.83432,0.96383,0.9837,0.995,0.83505,0.61204,0.51491,0.80635,0.00087526,0.00087526,0.00087526
65,1588.49,0.52409,0.45561,0.84752,0.9738,0.98714,0.995,0.83806,0.56875,0.48184,0.79495,0.00087328,0.00087328,0.00087328
66,1612.31,0.52106,0.4463,0.85254,0.96202,1,0.995,0.85103,0.55954,0.46996,0.79186,0.0008713,0.0008713,0.0008713
67,1636.18,0.52887,0.46,0.86771,0.98103,0.9934,0.995,0.85479,0.548,0.45078,0.7905,0.00086932,0.00086932,0.00086932
68,1659.82,0.50605,0.45231,0.83799,0.95618,0.99787,0.995,0.85839,0.52256,0.44994,0.7861,0.00086734,0.00086734,0.00086734
69,1683.51,0.52602,0.43917,0.85061,0.95593,0.98927,0.995,0.83392,0.55366,0.46259,0.79268,0.00086536,0.00086536,0.00086536
70,1707.25,0.52713,0.47462,0.85448,0.98215,0.9814,0.995,0.83168,0.58696,0.47069,0.79584,0.00086338,0.00086338,0.00086338
71,1731.54,0.54144,0.46895,0.86721,0.98259,0.98422,0.995,0.83859,0.5702,0.45993,0.79362,0.0008614,0.0008614,0.0008614
72,1757.36,0.51451,0.44094,0.84736,0.98146,0.98785,0.995,0.83262,0.56244,0.43552,0.80009,0.00085942,0.00085942,0.00085942
73,1781.21,0.49626,0.44256,0.85578,0.98137,0.97898,0.995,0.83601,0.56217,0.44252,0.80032,0.00085744,0.00085744,0.00085744
74,1805.02,0.49718,0.42893,0.83799,0.96811,0.98785,0.995,0.83782,0.5889,0.43912,0.80369,0.00085546,0.00085546,0.00085546
75,1828.68,0.50051,0.43492,0.84346,0.97326,0.97536,0.995,0.84805,0.57742,0.43886,0.80447,0.00085348,0.00085348,0.00085348
76,1852.43,0.51203,0.43051,0.84729,0.97002,0.97598,0.995,0.83287,0.57216,0.43826,0.80176,0.0008515,0.0008515,0.0008515
77,1876.17,0.52796,0.45461,0.85825,0.97373,0.98433,0.995,0.84069,0.57199,0.44562,0.7978,0.00084952,0.00084952,0.00084952
78,1899.86,0.49078,0.41611,0.84426,0.9761,0.99156,0.995,0.83595,0.5875,0.4479,0.79787,0.00084754,0.00084754,0.00084754
79,1923.66,0.49571,0.41114,0.84174,0.96079,0.99496,0.995,0.84026,0.58294,0.45388,0.79812,0.00084556,0.00084556,0.00084556
80,1949.14,0.51225,0.42222,0.83971,0.96352,0.99571,0.995,0.84253,0.5576,0.4435,0.7927,0.00084358,0.00084358,0.00084358
81,1973.99,0.51111,0.43553,0.8547,0.97146,0.98484,0.995,0.84108,0.56023,0.43954,0.79007,0.0008416,0.0008416,0.0008416
82,1998.8,0.49425,0.40936,0.83348,0.97168,0.98565,0.995,0.84539,0.58804,0.44047,0.79738,0.00083962,0.00083962,0.00083962
83,2024.31,0.50256,0.41439,0.85773,0.97352,0.98487,0.995,0.84564,0.58493,0.43365,0.79501,0.00083764,0.00083764,0.00083764
84,2049.14,0.49356,0.40911,0.85017,0.97233,0.98225,0.995,0.85048,0.5605,0.40695,0.79289,0.00083566,0.00083566,0.00083566
85,2073.77,0.49317,0.41726,0.85112,0.9724,0.98349,0.995,0.85951,0.54148,0.41624,0.78994,0.00083368,0.00083368,0.00083368
86,2098.37,0.50106,0.42377,0.85075,0.97138,0.98851,0.995,0.85797,0.55263,0.4246,0.78875,0.0008317,0.0008317,0.0008317
87,2123.4,0.49438,0.41523,0.84793,0.98276,0.98488,0.995,0.84957,0.5669,0.4164,0.79593,0.00082972,0.00082972,0.00082972
88,2148.46,0.51826,0.41674,0.86875,0.94834,0.98752,0.995,0.84824,0.56117,0.43136,0.7948,0.00082774,0.00082774,0.00082774
89,2174.15,0.49703,0.39234,0.83598,0.95597,0.99449,0.995,0.85111,0.56427,0.43236,0.79497,0.00082576,0.00082576,0.00082576
90,2199.71,0.48753,0.39465,0.84464,0.96284,0.97856,0.995,0.84089,0.57003,0.41711,0.79568,0.00082378,0.00082378,0.00082378
91,2224.03,0.4979,0.40841,0.8459,0.96526,0.97954,0.995,0.83703,0.58873,0.41331,0.79753,0.0008218,0.0008218,0.0008218
92,2247.94,0.51952,0.41681,0.86104,0.95951,0.9793,0.995,0.84728,0.5836,0.40774,0.79473,0.00081982,0.00081982,0.00081982
93,2273.99,0.48305,0.39381,0.83938,0.9586,0.98189,0.995,0.85792,0.56557,0.40526,0.79243,0.00081784,0.00081784,0.00081784
94,2299.94,0.49176,0.39465,0.84779,0.98363,0.986,0.995,0.85147,0.56772,0.39661,0.79682,0.00081586,0.00081586,0.00081586
95,2326.05,0.51939,0.42219,0.86589,0.98763,0.98748,0.995,0.84603,0.57404,0.40162,0.79986,0.00081388,0.00081388,0.00081388
96,2354.83,0.47109,0.38436,0.83543,0.98241,0.98748,0.995,0.85403,0.57287,0.40469,0.7976,0.0008119,0.0008119,0.0008119
97,2381.17,0.48692,0.3931,0.84647,0.97534,0.99288,0.995,0.85232,0.56806,0.39073,0.79977,0.00080992,0.00080992,0.00080992
98,2406.35,0.48546,0.38118,0.83331,0.9713,0.99624,0.995,0.83795,0.59478,0.39328,0.80765,0.00080794,0.00080794,0.00080794
99,2431.03,0.49442,0.38227,0.84183,0.97647,0.99114,0.995,0.82491,0.57964,0.39563,0.80177,0.00080596,0.00080596,0.00080596
100,2456.21,0.48634,0.3841,0.83126,0.9698,0.9914,0.995,0.84061,0.56048,0.39644,0.79756,0.00080398,0.00080398,0.00080398
101,2482.56,0.49465,0.39745,0.85228,0.9702,0.98589,0.995,0.83974,0.57201,0.40329,0.80035,0.000802,0.000802,0.000802
102,2507.46,0.46562,0.37203,0.84338,0.9728,0.98974,0.995,0.83603,0.58873,0.41394,0.80522,0.00080002,0.00080002,0.00080002
103,2532.4,0.46201,0.37875,0.84518,0.98005,0.98559,0.995,0.83278,0.57965,0.41845,0.80545,0.00079804,0.00079804,0.00079804
104,2557.22,0.51312,0.41026,0.86262,0.98312,0.98704,0.995,0.84229,0.58266,0.42031,0.80212,0.00079606,0.00079606,0.00079606
105,2582.31,0.49077,0.3877,0.83928,0.98492,0.98381,0.995,0.83694,0.58672,0.42863,0.79877,0.00079408,0.00079408,0.00079408
106,2607.41,0.48928,0.39188,0.8469,0.9846,0.98507,0.995,0.85552,0.57191,0.40381,0.79348,0.0007921,0.0007921,0.0007921
